network,neg,pos,ratio,mode,h1,h2,lr,bs,best_epoch,best_val_recall,best_val_neg_recall,best_balanced_acc
FullyConnectedPerceptron,1,2,2.0,BCE,256,32,0.0007,64,0,0.6273087859153748,0.8946928381919861,0.7610008120536804
FullyConnectedPerceptron,1,2,2.0,BCE,256,32,0.0008,64,0,0.5761390328407288,0.923973262310028,0.7500561475753784
FullyConnectedPerceptron,1,2,2.0,BCE,256,64,0.001,32,0,0.6218360662460327,0.8964753150939941,0.7591556906700134
FullyConnectedPerceptron,1,2,2.0,BCE,256,64,0.003,128,0,0.6482418775558472,0.8766225576400757,0.7624322175979614
FullyConnectedPerceptron,1,2,2.0,BCE,256,64,0.0003,128,0,0.5631413459777832,0.9200741052627563,0.7416077256202698
FullyConnectedPerceptron,1,2,2.0,BCE,256,64,0.006,128,0,0.5769599080085754,0.9220421314239502,0.7495010197162628
FullyConnectedPerceptron,1,2,2.0,BCE,512,256,0.001,64,0,0.6193733811378479,0.9010447263717652,0.7602090537548065
FullyConnectedPerceptron,1,2,2.0,BCE,512,256,0.004,32,0,0.597619354724884,0.9085782170295716,0.7530987858772278
FullyConnectedPerceptron,1,2,2.0,BCE,512,256,0.0005,16,0,0.5947462320327759,0.9215677380561828,0.7581569850444794
FullyConnectedPerceptron,1,2,2.0,BCE,512,32,0.0002,128,0,0.5769599080085754,0.8946859836578369,0.7358229458332062
FullyConnectedPerceptron,1,2,2.0,BCE,512,32,0.004,64,0,0.6372964978218079,0.8937596082687378,0.7655280530452728
FullyConnectedPerceptron,1,2,2.0,BCE,512,64,0.003,32,0,0.6497468948364258,0.8751301765441895,0.7624385356903076
FullyConnectedPerceptron,1,2,2.0,BCE,512,64,0.004,32,0,0.593104362487793,0.9219302535057068,0.7575173079967499
FullyConnectedPerceptron,1,2,2.0,BCE,64,32,0.001,64,0,0.5489122867584229,0.935040295124054,0.7419762909412384
FullyConnectedPerceptron,1,2,2.0,BCE,64,32,0.002,64,0,0.5872212052345276,0.9119545817375184,0.749587893486023
FullyConnectedPerceptron,1,2,2.0,BCE,64,32,0.0006,128,0,0.5346832871437073,0.9244747757911682,0.7295790314674377
FullyConnectedPerceptron,1,2,2.0,BCE,64,64,0.0003,64,0,0.5469968318939209,0.9158464074134828,0.7314216196537018
FullyConnectedPerceptron,1,2,2.0,BCE,64,64,0.0009,128,0,0.572992205619812,0.9155974984169006,0.7442948520183563
FullyConnectedPerceptron,1,2,2.0,weightedBCE,128,128,0.0001,16,0,0.682446300983429,0.8056797385215759,0.7440630197525024
FullyConnectedPerceptron,1,2,2.0,weightedBCE,128,256,0.003,64,0,0.6456423401832581,0.8737688660621643,0.7597056031227112
FullyConnectedPerceptron,1,2,2.0,weightedBCE,128,256,0.0004,64,0,0.702011227607727,0.8169631361961365,0.7594871819019318
FullyConnectedPerceptron,1,2,2.0,weightedBCE,128,256,0.0007,128,0,0.7266383767127991,0.7897610068321228,0.7581996917724609
FullyConnectedPerceptron,1,2,2.0,weightedBCE,128,32,0.004,128,0,0.730469286441803,0.7894768714904785,0.7599730789661407
